# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Wed Jan 12 06:37:51 2022
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2 Rayleigh CIA
2.628133958e+00 1.30934e-79 1.31067e-79 9.95839e-01 9.99965e-01 9.97865e-01 9.99999e-01 9.98264e-01 9.99999e-01 9.99999e-01 9.99836e-01 9.99999e-01
2.629886047e+00 2.50187e-123 2.50416e-123 9.96273e-01 9.99975e-01 9.98364e-01 9.99999e-01 9.98784e-01 9.99999e-01 9.99999e-01 9.99836e-01 9.99999e-01
2.631639304e+00 5.21155e-82 5.21633e-82 9.94725e-01 9.99968e-01 9.98791e-01 9.99999e-01 9.98322e-01 9.99999e-01 9.99999e-01 9.99837e-01 9.99999e-01
2.633393731e+00 5.24660e-82 5.25002e-82 9.97043e-01 9.99983e-01 9.98994e-01 9.99999e-01 9.97677e-01 9.99999e-01 9.99999e-01 9.99837e-01 9.99999e-01
2.635149326e+00 4.03515e-17 4.03756e-17 9.96037e-01 9.99967e-01 9.99296e-01 9.99999e-01 9.99852e-01 9.99999e-01 9.99999e-01 9.99838e-01 9.99999e-01
2.636906093e+00 1.96437e-10 1.96551e-10 9.96793e-01 9.99977e-01 9.99425e-01 9.99999e-01 9.98494e-01 9.99999e-01 9.99999e-01 9.99838e-01 9.99999e-01
2.638664030e+00 5.28748e-10 5.28996e-10 9.98740e-01 9.99957e-01 9.99625e-01 9.99999e-01 9.99600e-01 9.99999e-01 9.99999e-01 9.99838e-01 9.99999e-01
2.640423139e+00 2.02706e-10 2.02789e-10 9.97727e-01 9.99979e-01 9.99699e-01 9.99999e-01 9.99154e-01 9.99999e-01 9.99999e-01 9.99839e-01 9.99999e-01
2.642183422e+00 4.79638e-20 4.79805e-20 9.98554e-01 9.99949e-01 9.99689e-01 9.99999e-01 9.99798e-01 9.99999e-01 9.99999e-01 9.99839e-01 9.99999e-01
2.643944877e+00 5.78808e-19 5.79032e-19 9.99373e-01 9.99976e-01 9.99607e-01 9.99999e-01 9.99333e-01 9.99999e-01 9.99999e-01 9.99840e-01 9.99999e-01
2.645707507e+00 1.92801e-37 1.92888e-37 9.99472e-01 9.99974e-01 9.99370e-01 9.99999e-01 9.99898e-01 9.99999e-01 9.99999e-01 9.99840e-01 9.99999e-01
2.647471312e+00 4.50252e-13 4.50551e-13 9.99196e-01 9.99950e-01 9.98847e-01 9.99999e-01 9.99252e-01 9.99999e-01 9.99999e-01 9.99841e-01 9.99999e-01
2.649236293e+00 2.60384e-11 2.60676e-11 9.99114e-01 9.99970e-01 9.98003e-01 9.99999e-01 9.99964e-01 9.99999e-01 9.99999e-01 9.99841e-01 9.99999e-01
2.651002450e+00 2.92718e-16 2.93201e-16 9.98095e-01 9.99950e-01 9.97441e-01 9.99999e-01 9.99753e-01 9.99999e-01 9.99999e-01 9.99841e-01 9.99999e-01
2.652769785e+00 6.31090e-58 6.33091e-58 9.95906e-01 9.99965e-01 9.96393e-01 9.99999e-01 9.99619e-01 9.99999e-01 9.99999e-01 9.99842e-01 9.99999e-01
2.654538299e+00 1.73670e-46 1.74800e-46 9.90339e-01 9.99976e-01 9.94649e-01 9.99999e-01 9.99591e-01 9.99999e-01 9.99999e-01 9.99842e-01 9.99999e-01
2.656307991e+00 3.03140e-34 3.07403e-34 9.79687e-01 9.99970e-01 9.94164e-01 9.99999e-01 9.99684e-01 9.99999e-01 9.99999e-01 9.99843e-01 9.99999e-01
2.658078863e+00 3.01402e-34 3.08873e-34 9.53616e-01 9.99962e-01 9.93603e-01 9.99999e-01 9.99897e-01 9.99999e-01 9.99999e-01 9.99843e-01 9.99999e-01
2.659850915e+00 6.07358e-52 6.40005e-52 8.81170e-01 9.99976e-01 9.93443e-01 9.99999e-01 9.99914e-01 9.99999e-01 9.99999e-01 9.99843e-01 9.99999e-01
2.661624149e+00 3.04865e-83 3.37191e-83 6.89740e-01 9.99981e-01 9.93985e-01 9.99999e-01 9.99858e-01 9.99999e-01 9.99999e-01 9.99844e-01 9.99999e-01
2.663398565e+00 1.48933e-89 1.95637e-89 4.17380e-01 9.99921e-01 9.95231e-01 9.99999e-01 9.99834e-01 9.99999e-01 9.99999e-01 9.99844e-01 9.99999e-01
2.665174165e+00 2.22392e-252 3.68354e-252 2.54841e-01 9.99956e-01 9.97363e-01 9.99999e-01 9.99807e-01 9.99999e-01 9.99999e-01 9.99845e-01 9.99999e-01
2.666950947e+00 1.49016e-257 3.80752e-257 7.24409e-02 9.99575e-01 9.98788e-01 9.99999e-01 9.99956e-01 9.99999e-01 9.99999e-01 9.99845e-01 9.99999e-01
2.668728915e+00 1.54768e-200 8.61873e-200 1.90058e-02 9.99843e-01 9.98775e-01 9.99999e-01 9.99980e-01 9.99999e-01 9.99999e-01 9.99846e-01 9.99999e-01
2.670508067e+00 1.11199e-305 3.37327e-303 3.21964e-04 9.99918e-01 9.98008e-01 9.99999e-01 9.99856e-01 9.99999e-01 9.99999e-01 9.99846e-01 9.99999e-01
2.672288406e+00 6.17359e-127 2.34789e-124 9.24096e-05 9.99949e-01 9.95716e-01 9.99999e-01 9.99711e-01 9.99999e-01 9.99999e-01 9.99846e-01 9.99999e-01
2.674069932e+00 1.49823e-88 4.02633e-81 2.09137e-09 9.99963e-01 9.96270e-01 9.99999e-01 9.99883e-01 9.99999e-01 9.99999e-01 9.99847e-01 9.99999e-01
2.675852645e+00 2.46194e-189 5.36530e-180 1.59000e-11 9.99965e-01 9.94363e-01 9.99999e-01 9.99965e-01 9.99999e-01 9.99999e-01 9.99847e-01 9.99999e-01
